INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('1','B1','Borivali','6-8 AM',125,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('14','B1','Borivali','4-6 PM',190,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('15','B1','Borivali','6-8 PM',195,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('16','B1','Borivali','8-10 PM',190,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('17','B2','Borivali','6-8 AM',120,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('18','B2','Borivali','8-10 AM',145,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('19','B2','Borivali','10-12 AM',135,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('20','B2','Borivali','12-2 PM',143,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('21','B2','Borivali','2-4 PM',127,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('22','B2','Borivali','4-6 PM',157,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('23','B2','Borivali','6-8 PM',166,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('24','B2','Borivali','8-10 PM',168,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('25','B2','Borivali','6-8 AM',110,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('26','B2','Borivali','8-10 AM',150,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('27','B2','Borivali','10-12 AM',143,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('28','B2','Borivali','12-2 PM',133,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('29','B2','Borivali','2-4 PM',122,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('30','B2','Borivali','4-6 PM',162,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('31','B2','Borivali','6-8 PM',160,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('32','B2','Borivali','8-10 PM',175,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('33','BS1','Vasai','6-8 AM',150,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('34','BS1','Vasai','8-10 AM',145,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('35','BS1','Vasai','10-12 AM',135,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('36','BS1','Vasai','12-2 PM',125,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('37','BS1','Vasai','2-4 PM',100,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('38','BS1','Vasai','4-6 PM',145,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('39','BS1','Vasai','6-8 PM',150,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('40','BS1','Vasai','8-10 PM',155,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('41','BS1','Vasai','6-8 AM',155,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('42','BS1','Vasai','8-10 AM',140,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('43','BS1','Vasai','10-12 AM',138,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('44','BS1','Vasai','12-2 PM',120,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('45','BS1','Vasai','2-4 PM',107,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('46','BS1','Vasai','4-6 PM',155,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('47','BS1','Vasai','6-8 PM',146,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('48','BS1','Vasai','8-10 PM',159,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('49','BS2','Vasai','6-8 AM',180,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('50','BS2','Vasai','8-10 AM',165,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('51','BS2','Vasai','10-12 AM',145,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('52','BS2','Vasai','12-2 PM',130,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('53','BS2','Vasai','2-4 PM',125,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('54','BS2','Vasai','4-6 PM',145,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('55','BS2','Vasai','6-8 PM',160,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('56','BS2','Vasai','8-10 PM',175,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('57','BS2','Vasai','6-8 AM',173,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('58','BS2','Vasai','8-10 AM',170,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('59','BS2','Vasai','10-12 AM',140,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('60','BS2','Vasai','12-2 PM',110,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('61','BS2','Vasai','2-4 PM',135,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('62','BS2','Vasai','4-6 PM',140,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('63','BS2','Vasai','6-8 PM',150,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('64','BS2','Vasai','8-10 PM',189,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('65','V1','Virar','6-8 AM',200,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('66','V1','Virar','8-10 AM',210,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('67','V1','Virar','10-12 AM',175,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('68','V1','Virar','12-2 PM',140,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('69','V1','Virar','2-4 PM',150,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('70','V1','Virar','4-6 PM',180,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('71','V1','Virar','6-8 PM',195,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('72','V1','Virar','8-10 PM',200,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('73','V1','Virar','6-8 AM',180,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('74','V1','Virar','8-10 AM',200,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('75','V1','Virar','10-12 AM',200,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('76','V1','Virar','12-2 PM',150,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('77','V1','Virar','2-4 PM',130,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('78','V1','Virar','4-6 PM',170,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('79','V1','Virar','6-8 PM',200,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('80','V1','Virar','8-10 PM',220,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('81','V2','Virar','6-8 AM',150,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('82','V2','Virar','8-10 AM',147,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('83','V2','Virar','10-12 AM',140,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('84','V2','Virar','12-2 PM',105,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('85','V2','Virar','2-4 PM',111,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('86','V2','Virar','4-6 PM',125,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('87','V2','Virar','6-8 PM',155,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('88','V2','Virar','8-10 PM',165,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('89','V2','Virar','6-8 AM',162,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('90','V2','Virar','8-10 AM',145,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('91','V2','Virar','10-12 AM',132,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('92','V2','Virar','12-2 PM',125,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('93','V2','Virar','2-4 PM',117,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('94','V2','Virar','4-6 PM',145,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('95','V2','Virar','6-8 PM',150,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('96','V2','Virar','8-10 PM',161,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('97','BH1','Bhayander','6-8 AM',225,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('98','BH1','Bhayander','8-10 AM',250,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('99','BH1','Bhayander','10-12 AM',235,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('100','BH1','Bhayander','12-2 PM',215,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('101','BH1','Bhayander','2-4 PM',205,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('102','BH1','Bhayander','4-6 PM',220,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('103','BH1','Bhayander','6-8 PM',235,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('104','BH1','Bhayander','8-10 PM',250,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('105','BH1','Bhayander','6-8 AM',245,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('106','BH1','Bhayander','8-10 AM',240,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('107','BH1','Bhayander','10-12 AM',243,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('108','BH1','Bhayander','12-2 PM',225,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('109','BH1','Bhayander','2-4 PM',215,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('110','BH1','Bhayander','4-6 PM',240,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('111','BH1','Bhayander','6-8 PM',245,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('112','BH1','Bhayander','8-10 PM',258,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('113','BH2','Bhayander','6-8 AM',140,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('114','BH2','Bhayander','8-10 AM',165,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('115','BH2','Bhayander','10-12 AM',155,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('116','BH2','Bhayander','12-2 PM',143,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('117','BH2','Bhayander','2-4 PM',157,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('118','BH2','Bhayander','4-6 PM',157,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('119','BH2','Bhayander','6-8 PM',166,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('120','BH2','Bhayander','8-10 PM',168,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('121','BH2','Bhayander','6-8 AM',148,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('122','BH2','Bhayander','8-10 AM',148,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('123','BH2','Bhayander','10-12 AM',161,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('124','BH2','Bhayander','12-2 PM',151,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('125','BH2','Bhayander','2-4 PM',139,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('126','BH2','Bhayander','4-6 PM',160,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('127','BH2','Bhayander','6-8 PM',173,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('128','BH2','Bhayander','8-10 PM',158,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('129','A1','Andheri','6-8 AM',240,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('130','A1','Andheri','8-10 AM',255,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('131','A1','Andheri','10-12 AM',200,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('132','A1','Andheri','12-2 PM',180,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('133','A1','Andheri','2-4 PM',150,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('134','A1','Andheri','4-6 PM',200,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('135','A1','Andheri','6-8 PM',260,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('136','A1','Andheri','8-10 PM',275,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('137','A1','Andheri','6-8 AM',232,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('138','A1','Andheri','8-10 AM',260,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('139','A1','Andheri','10-12 AM',230,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('140','A1','Andheri','12-2 PM',170,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('141','A1','Andheri','2-4 PM',152,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('142','A1','Andheri','4-6 PM',235,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('143','A1','Andheri','6-8 PM',250,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('144','A1','Andheri','8-10 PM',260,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('145','A2','Andheri','6-8 AM',270,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('146','A2','Andheri','8-10 AM',285,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('147','A2','Andheri','10-12 AM',240,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('148','A2','Andheri','12-2 PM',235,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('149','A2','Andheri','2-4 PM',220,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('150','A2','Andheri','4-6 PM',245,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('151','A2','Andheri','6-8 PM',260,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('152','A2','Andheri','8-10 PM',280,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('153','A2','Andheri','6-8 AM',280,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('154','A2','Andheri','8-10 AM',265,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('155','A2','Andheri','10-12 AM',235,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('156','A2','Andheri','12-2 PM',239,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('157','A2','Andheri','2-4 PM',224,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('158','A2','Andheri','4-6 PM',255,'Yesterday');
